lat [deg],lon [deg],,
-2.65048,121.65846,,
-2.73823,121.52669,,
-3.46005,133.59103,,
-2.99337,133.82878,,
-6.39522,-80.30735,,
-6.36909,-80.35404,,
-4.09186,-63.36236,,
-4.05936,-63.12207,,
-4.09172,-63.36263,,
-4.12891,-49.7265,,
-4.29285,-49.46069,,
-4.5059,-49.49593,,
-4.2293,-49.72296,,
-4.25239,-49.73711,,
-4.26134,-49.7375,,
-4.4443,-49.48701,,
-4.142,-49.60501,,
-4.39333,-49.50562,,
-4.26703,-49.5729,,
-4.00013,-49.61998,,
-4.32308,-49.51684,,
-4.12925,-49.60463,,
-4.06933,-49.62743,,
-6.83935,141.41877,,
-7.69891,143.84339,,
-7.00562,141.50407,,
-6.98688,141.51559,,
-7.35996,138.67224,,
-7.69838,144.34959,,
-10.36509,-48.4017,,
-10.06095,-48.36766,,
-9.42871,-41.12671,,
-9.38894,-40.97068,,
-9.37632,-40.9231,,
-8.3443,26.54112,,
-8.26481,26.3583,,
-8.39954,143.13906,,
-8.27895,143.5184,,
-8.16867,143.61647,,
-8.38079,142.93485,,
-8.4619,143.4191,,
-8.39926,143.13906,,
-8.44272,143.36261,,
-15.7591,25.96615,,
-15.62256,30.64858,,
-15.70536,31.00216,,
-15.73172,31.05452,,
-15.62692,31.27848,,
-15.63544,32.45571,,
-15.04406,129.21347,,
-18.97566,-50.49504,,
-18.29935,-48.9059,,
-19.89483,-50.05644,,
-19.84966,-50.10112,,
-19.84979,-50.10083,,
-18.31236,-45.29728,,
-17.6964,27.2168,,
-16.85341,27.82072,,
-16.8667,27.88498,,
-17.41666,27.46885,,
-16.51452,28.68805,,
-16.58074,28.21152,,
-16.94493,27.71124,,
45.591934,47.717708,,
65.138384,-123.505546,,
61.311727,-117.617115,,
53.696359,-97.863542,,
46.468593,-84.460547,,
45.822916,-84.75391,,
44.480557,-75.794246,,
42.999403,-82.422576,,
42.904334,-78.908084,,
59.95278,31.032851,,
52.234393,104.321875,,
46.385417,74.602083,,
44.90625,59.714583,,
41.056625,52.912913,,
13.077083,14.527083,,
0.430999,33.193791,,
-5.91118,29.185417,,
-14.417702,35.236458,,
66.577083,-161.21875,,
66.56381,-71.413041,,
66.21204,-113.658891,,
66.044988,-111.239858,,
65.407803,-71.735126,,
64.719664,-97.924161,,
64.05625,-94.186458,,
63.570114,-100.699367,,
63.098255,-117.132493,,
63.058808,-97.609375,,
60.826818,-98.96529,,
60.575531,-102.145569,,
59.331889,-155.884538,,
58.811965,-102.757556,,
58.704508,-111.200512,,
58.628837,-111.703703,,
58.038697,-156.842235,,
57.706249,-106.302082,,
57.361625,-98.132949,,
56.234185,-103.149606,,
56.17652,-74.844792,,
56.018963,-122.197841,,
55.316887,-104.557901,,
55.306762,-114.773391,,
54.850824,-69.780208,,
54.836064,-94.083446,,
54.182208,-72.547917,,
53.784788,-77.451463,,
53.729265,-75.963448,,
53.698476,-100.277095,,
53.648792,-64.261491,,
53.521981,-60.137798,,
53.160069,-99.289952,,
51.885752,-99.653845,,
51.587865,-98.728778,,
51.248214,-73.792606,,
50.649075,-68.728125,,
50.63859,-93.200208,,
49.764368,-94.518399,,
49.307873,-88.309371,,
48.578105,-71.635571,,
48.35383,-74.099187,,
47.956032,-95.272214,,
47.50613,-101.432292,,
45.860445,-61.093699,,
45.054564,-73.334878,,
44.456316,-100.39797,,
42.347969,-82.943052,,
41.410417,-112.83125,,
30.177666,-89.740278,,
26.941122,-81.100806,,
20.313637,-102.79375,,
12.202589,-86.107292,,
11.122437,-84.781903,,
7.764054,-62.997917,,
4.98429,-54.999153,,
-1.914499,-59.477151,,
-3.832791,-49.647234,,
-9.42266,-40.824117,,
-16.558623,-69.029021,,
-19.1593,-67.015625,,
-20.37291,-51.377077,,
-22.471582,-52.958685,,
-25.405427,-54.594792,,
-27.393989,-56.626364,,
-29.964583,-64.727083,,
-30.84375,-62.252083,,
-32.14898,-52.628161,,
-46.839729,-72.801544,,
-48.366105,-72.958093,,
-49.776648,-72.081201,,
-50.230352,-71.977997,,
75.220969,100.089583,,
68.881285,28.281226,,
68.12483,87.761458,,
67.411458,32.555208,,
63.868409,34.380735,,
63.034291,112.477083,,
62.305267,27.912,,
61.283832,25.596449,,
61.227083,28.78125,,
60.919873,34.161458,,
